Compositions	Youngs_Modulus_GPa	Shear_Modulus_GPa	Bulk_Modulus_GPa	density
Ca57Mg19Cu24	38	None	None	2.237
Ca57Mg19Cu24	38	None	None	None
Ca57Mg19Cu24	38	None	None	None
Pr60Al10Ni10Cu16Fe4	38.06	14.09	42.56	6.833
Pr60Cu17Ni8Al15	38.36	14.15	44.26	6.548
Pr60Al10Ni10Cu14Fe6	38.61	14.29	43.21	6.804
La60Al20Co20	38.7	14.5	39.17	None
La60Al20Co20	38.74	14.51	39.17	6.267
Mg65Cu7.5Ni7.5Zn5Ag5Y10	39	None	None	None
Cu50Zr43Al7	40.6	None	None	None
La55Al25Co20	40.9	15.42	None	None
La55Al25Co20	40.9	15.42	39.34	None
La55Al25Co20	40.9	15.42	39.34	5.802
La55Al25Co20	40.91	15.41	39.35	5.802
La55Al25Cu10Ni5Co5	41.9	15.6	44.2	6
La55Cu10Ni5Co5Al25	41.9	15.6	None	None
Mg75Cu13.33Y6.6Zn5	42	None	None	None
Pr55Cu17Ni8Al20	42.97	16.14	42.32	6.426
Pr60Al10Ni10Cu12Fe8	44.98	16.75	47.71	6.814
Mg58.5Cu30.5Y2Gd9	45	None	None	3.96
Mg58Cu31Y3Gd8	45.2	None	None	3.93
Pd75.5Si16.5Ag8	45.7	None	None	None
Pr55Al25Co20	45.9	17.35	None	None
Pr55Al25Co20	45.9	17.4	43.5	6.373
Pr60Al10Ni10Cu10Fe10	45.91	17.18	46.63	6.807
Pr55Al25Co20	45.96	17.36	43.46	6.373
Mg46Li19Cu25Y10	46	None	None	2.94
Pr55Cu14.3Ni5.7Al25	46.2	17.24	48.16	6.355
La55Al25Co5Cu10Ni5	47	None	None	None
Mg64Ni21Nd15	47.4	17.9	44.8	3.7
Pr60Al10Ni10Cu5Fe15	47.4	17.88	45.29	6.788
Pr55Al12Fe30Cu3	47.6	18.2	41.4	None
Pr55Al12Fe30Cu3	47.61	18.2	41.38	6.615
Ce60Al15Ni15Cu10	48	18.7	36.6	6.669
Mg66Zn30Ca5	48	None	None	None
Mg66Zn30Ca4	48	None	None	2.9
Pr60Al10Ni10Cu2Fe18	48.89	18.69	42.51	6.8
Mg65Cu25Y10	49.1	18.9	41.36	None
Pr60Al10Ni10Fe20	49.84	19.16	41.63	6.8
(Mg65Cu25Gd10)97Ti3	50	19.1	44.1	3.811
Mg64Ni21Nd15	50	None	None	None
Mg75Cu15Gd10	50	None	None	None
Mg65Cu25Y10	50.1	18.9	None	3.28
Mg65Cu25Y5Gd5	50.6	19.7	39.1	None
Mg65Cu25Gd10	50.6	19.3	45.1	3.79
Mg65Cu25Gd10	50.6	None	None	None
(Mg65Cu25Gd10)99Sn1	50.8	19.4	44.9	3.881
Nd60Al10Fe20Co10	51	35.1	46.5	7.052
Mg65Cu25Tb10	51.3	19.6	44.7	3.98
Mg65Cu25Tb10	51.3	None	44.71	3.979
La55Al25Cu10Ni5Co5	51.6	None	None	None
Mg65Cu25Y8Gd2	51.7	20.1	39.85	None
(Mg65Cu25Gd10)95Ti5	51.8	19.8	44.6	3.936
(Mg65Cu25Gd10)97Sn3	52	19.9	45.42	4.027
Cu47.5Zr47.5Al5	52	None	None	None
Mg60Cu25Gd15	52.2	19.9	46.6	4.22
Mg65Cu25Y9Gd1	52.2	20.4	39.05	None
Mg60Cu25Gd15	52.2	19.9	46.6	4.22
Zr60Cu20Pd10Al10	52.2	None	None	None
(Mg65Cu25Gd10)99Ti1	52.3	19.9	47.8	3.94
(Mg65Cu25Gd10)99Ti1	52.3	19.9	47.8	3.94
Al17Co29Zr54	53	None	None	None
Al87Fe8.7Gd4.3	53	None	None	3.451
Mg58.5Cu30.5Y11	53.9	20.4	49.4	3.547
Mg60Cu25Gd10Zn5	54	20.6	46.7	4.062
Mg75Cu5Ni10Gd10	54	None	None	None
Nd60Fe20Al10Ni10	54.1	None	None	None
Nd60Fe20Co10Al10	54.1	20.7	54.1	None
Mg57Cu34Nd9	54.2	20.5	50.7	4.1
Mg57Cu31Y6.6Nd5.4	54.4	None	None	3.75
Mg57Cu31Y6.6Nd5.4	54.4	20.7	48.3	3.809
Mg58Cu27Y10Zn5	55.2	21.3	44.8	3.558
Mg65Cu25Gd10	56	None	None	None
Cu47.5Zr47.5Al5	56	None	None	None
Mg58Cu31Nd5Y6	56	None	None	None
Sm40Y15Al25Co20	57.1	21.5	54.7	None
Sm40Y15Al25Co20	57.14	21.55	54.65	6.276
Mg65Y10Cu15Ag5Pd5	59	None	None	None
Mg65Y10Cu15Ag5Pd5	59	None	None	None
Mg65Cu20Ni5Gd10	59	None	None	None
Tb55Al25Co20	59.5	22.9	50.2	7.488
Tb55Al25Co20	59.53	22.85	None	None
Gd60Co30Al10	60	None	None	None
Al85Ni10Ce5	60.5	None	None	3.514
Mg75Ni15Y10	61	None	None	None
Dy55Al25Co20	61.36	23.52	52.22	7.56
Cu60Zr30Ti10	61.39	None	None	None
Mg55Cu25Ag10Gd10	61.7	23.6	53.5	4.919
Gd51Al24Co20Zr4Nb1	61.79	23.25	60.08	7.314
Gd36Y20Al24Co20	62.07	23.53	57.22	6.402
Gd36Y20Al24Co20	62.2	None	None	None
Gd36Y20Al24Co20	62.2	23.6	None	None
Gd40Y16Al24Co20	62.2	23.5	58	6.656
Gd36Al24Co20Y20	62.2	23.6	57.4	None
Zr60Cu20Pd10Al10	62.3	None	None	None
Tb36Ho20Al24Co20	62.7	23.8	None	None
Gd60Co25Al15	63	None	None	None
Gd60Ni20Al20	63	None	None	None
Tb36Y20Al24Co20	63.55	23.98	60.46	6.63
Tb36Y20Al24Co20	63.6	24	60.5	6.583
Zr57Al10Ni8Cu20Ti5	63.7	None	None	None
Al2Co49Zr49	64	None	None	None
Al2Co49Zr49	64	None	None	None
Gd60Ni15Al25	64	None	None	None
Gd60Ni15Al25	64	None	None	None
Dy46Y10Al24Co18Fe2	64.2	None	None	None
Dy46Y10Al24Co18Fe2	64.2	24.4	58.5	None
Dy46Al24Co18Fe2Y10	64.2	24.4	58.5	None
Dy46Y10Al24Co20Fe2	64.2	24.4	58.5	7.046
Dy46Y10Al24Co18Fe2	64.23	24.39	58.46	7.211
Tb36Er20Al24Co20	64.5	24.3	None	None
Zr57Al10Ni8Cu20Ti5	64.5	None	None	None
Mg65Cu20Ag5Gd10	64.9	None	None	None
Al90Fe5Ce5	66	None	None	3.283
Zr70Cu30	66	None	None	None
Gd60Co20Al20	66	None	None	None
Ti60Cu14Ni12Sn4Nb10	66.1	None	None	None
Au49Ag5.5Pd2.3Cu26.9Si16.3	66.38	23.43	None	11
Ho40Al22Co22Y16	66.58	25.27	60.74	7.112
Ho55Al25Co20	66.64	25.42	58.81	7.888
Mg65Cu20Ag5Gd10Ni2.5	66.65	None	None	None
Ho55Al25Co20	66.67	25.43	58.78	7.888
Gd60Ni10Al30	67	None	None	None
Al87Ni6FeGd6	67.1	None	None	3.57
Tm27.5Y27.5Al25Co20	68	25.8	61.9	6.476
(Zr0.62Cu0.23Fe0.05Al0.10)97Ag3	68	None	None	None
Ho30Al24Co20Y26	68.27	25.87	62.96	6.494
Mg65Cu20Ag5Gd10Ni5	68.4	None	None	None
Mg65Cu20Y15	69	None	None	None
Mg65Cu20Y15	69	None	None	None
Ho35Y21Al24Co20	69.1	26.2	63.6	None
Ho39Al25Co20Y16	69.1	26.2	63.6	7.024
Ho39Al24Co20Y12Zr5	69.3	26.2	None	None
Au55Cu25Si20	69.8	24.6	None	12.2
Er36Y20Al24Co20	70	26.58	63.75	6.982
Pd80Si20	70	None	None	None
Pd80Si20	70	None	None	None
Gd60Co15Al25	70	None	None	None
Gd60Co15Al25	70	None	None	None
Mg65Cu20Ag5Gd10Ni7.5	70.15	None	None	None
Er55Al25Co20	70.7	27.1	None	8.16
Er55Al25Co20	70.72	27.08	60.7	8.157
Er55Al25Co20	70.72	27.08	60.7	8.157
(Zr0.62Cu0.23Fe0.05Al0.10)93Ag7	71	None	None	None
Er50Y6Al24Co20	71.1	26.98	65.07	7.831
Er50Al24Co20Y6	71.1	27	65.1	None
Er50Al24Co20Y6	71.1	27	65.1	None
(ZrNb)73.4(CuNiAl)26.6	71.4	25.9	96.7	6.67
Tm45Y10Al25Co20	71.5	27.3	62.3	7.662
Mg65Cu20Ag5Gd10Ni10	71.9	None	None	None
Ti42.5Cu41Ni9Zr7.5	72	None	None	None
Zr65Cu35	72	None	None	None
Zr66.4Cu10.5Ni8.7Al8Nb6.4	72	None	None	None
Mg65Cu15Ag10Y2Gd8	72	None	None	None
(Zr0.62Cu0.23Fe0.05Al0.10)99Ag1	72	None	None	None
(Zr0.62Cu0.23Fe0.05Al0.10)95Ag5	72	None	None	None
Zr57Al10Ni8Cu20Ti5	72.1	None	None	None
Tm55Al25Co20	72.2	25.6	62	8.274
Tm55Al25Co20	72.2	25.6	62	None
Tm55Al25Co20	72.2	27.6	None	8.27
Tm55Al25Co20	72.2	25.6	62	8.274
Tm55Al25Co20	72.2	27.6	62	8.274
Al85Ni6Fe3Gd6	72.7	None	None	3.63
Al88Ni9Fe1Ce2	73	None	None	3.28
(ZrNb)72.8(CuNiAl)27.2	73.2	26.4	106.2	6.675
Zr48Cu45Al7	73.4	None	None	None
Tm40Zr15Al25Co20	73.8	28	68.1	7.695
Tm40Zr15Al25Co20	73.8	68.1	28	None
Au49Ag5.5Pd2.3Cu26.9Si16.3	74.4	26.5	132.3	11.6
Au49Ag5.5Pd2.3Cu26.9Si16.3	74.4	26.5	None	None
Au49Ag5.5Pd2.3Cu26.9Si16.3	74.4	26.5	None	11.6
Au49.5Ag5.5Pd2.3Cu26.9Si16.3	74.4	26.5	None	None
Tm39Al25Co20Y16	75	29.4	None	None
Tm39Y16Al25Co20	75	29.4	55.3	7.3
Cu57Zr43	75	None	None	None
Zr57Al10Ni8Cu20Ti5	75	None	None	None
(Zr0.62Cu0.23Fe0.05Al0.10)100	75	None	None	None
(Zr39.6Ti33.9Nb7.6Cu6.4Be12.5)	75.3	None	None	5.8
Zr39.6Ti33.9Nb7.6Cu6.4Be12.5	75.3	27.3	None	5.8
Al85Ni5Fe2Gd8	75.3	None	None	3.78
Al85Ni10Hf5	75.8	None	None	2.835
Pd47Ni33P20	76	None	None	None
(ZrNb)70.7(CuNiAl)29.3	76.1	27.6	105.8	6.643
Zr65Cu12.5Be22.5	76.3	27.5	111.9	6.12
Zr61Cu16.8Ni12.8Al7.9Sn1.5	77.3	28.4	92.9	6.794
Zr61Cu17.3Ni12.8Al7.9Sn1	77.4	28.2	102.6	6.801
Zr61Cu17.3Ni12.8Al7.9Sn1	77.4	28.2	None	None
Zr61Cu17.3Ni12.8Al7.9Sn1	77.4	None	None	None
Tm39Y16Al25Co20	77.5	29.73	66.1	7.301
Zr60Al10Ni10Cu15Be5	78	28.2	109.7	6.497
Zr55Al10Ni5Cu30	78	None	None	None
Ni75B17Si8	78	None	None	None
Ni40Cu10Ti33Zr16Si1	78	None	None	None
Zr65.025Cu14.85Ni10.125Al10	78.2	28.4	104.4	6.585
Zr64.13Al10Ni10.12Cu15.75	78.4	28.5	106.6	6.604
Zr64.13Cu15.75Ni10.12Al10	78.4	28.5	106.63	None
Zr64.13Cu15.75Ni10.12Al10(S2)	78.41	28.46	106.63	6.604
Zr61Cu17.8Ni12.8Al7.9Sn0.5	78.8	28.8	101.3	6.784
Zr56.2Ti13.8Nb5.0Cu6.9Ni5.6Be12.5	78.8	28.6	None	6.2
Lu39Y16Al25Co20	78.9	30	71.3	7.593
Lu39Y16Al25Co20	78.9	30	71.3	None
Lu39Y16Al25Co20	78.9	30	71.3	None
Lu39Y16Al25Co20	78.9	30	None	7.59
Pd48Fe33P20	79	None	None	None
Cu46Zr46Ag8	79	None	None	None
Zr60Cu25Al15	79	32.2	None	None
Zr61Cu18.3Ni12.8Al7.9	79.1	28.9	101.4	6.824
Lu45Y10Al25Co20	79.1	31.1	70.2	8.014
Lu45Y10Al25Co20	79.1	31.1	None	None
Lu45Y10Al25Co20	79.1	31.1	70.2	None
Zr38.3Ti32.9Nb7.3Cu6.2Be15.3	79.2	28.8	None	5.7
Tm40Y15Al25Co10Ni10	79.4	30.4	68.7	8.032
Zr62Cu15.5Ni12.5Al10	79.65	28.89	None	None
Zr62Al10Ni12.6Cu15.4	79.7	28.9	109	6.615
Zr62Cu15.5Ni12.5Al10	79.7	28.9	None	6.62
Zr64.13Cu13.5Ni12.37Al10	79.7	28.9	None	6.65
Cu46Zr42Al7Y5	80	29.1	106.8	6.946
Lu55Al25Co20	80	30.6	69.2	8.694
Zr62Cu15.4Ni12.6Al10	80	None	652	None
Lu55Al25Co20	80	30.6	69.2	8.69
Zr65Al10Ni10Cu15	80	None	None	None
Pd81S19	80	None	None	None
Zr60Cu20Al15Ni5	80	32.2	None	None
Zr61.88Al10Ni10.12Cu18	80.1	29.1	108.3	6.649
Zr61.88Cu18Ni10.12Al10	80.1	29.1	108.33	None
Zr61.88Cu18Ni10.12Al10(S1)	80.12	29.1	108.33	6.649
Al86Ni6Y4.5C02La1.5	80.3	None	None	None
Al85Ni10Zr5	80.4	None	None	3.384
Zr61.88Al10Ni10.12Cu18	80.5	29.3	107.7	6.664
Pd80P20	80.5	28.2	160	10.22
Pd80Si20	80.5	28.2	160	None
Zr65Fe5Cu20Al10	80.5	29.8	88.9	None
(Pd0.85Fe0.15)80P20	80.85	None	150.81	10.12
Zr62.325Cu17.55Ni10.125Al10	81	29.5	108.4	6.678
Zr55Cu25Ni10Al10	81	None	None	None
Zr53Ti5Ni10Cu20Al12	81	None	None	None
Zr60Cu15Al15Ni10	81	32.2	None	None
Zr62Cu17Ni13Al8	81.2	29.4	None	6.73
Zr60Ni25Al15	81.4	30.1	100	None
Zr61Cu15.8Ni12.8Al7.9Sn2.5	81.5	29.8	102.1	6.819
Zr62.5Fe5Cu22.5Al10	81.5	30.3	86.4	None
Zr55Cu30Ni10Al5	81.6	None	None	6.83
Zr62Cu17Ni13Al8	81.8	29.5	None	6.72
Zr61Cu16.3Ni12.8Al7.9Sn2	81.9	30.1	99.8	6.779
Zr61Cu16.3Ni12.8Al7.9Sn2	81.92	None	None	None
Ti40Zr10Cu36Pd14	82	None	None	6.98
Zr62.325Cu17.55Ni10.125Al10	82	29.9	108.3	6.685
Zr60.525Cu19.35Ni10.125Al10	82	29.8	109	6.701
Zr57Ti5Cu20Ni8Al10	82	30.1	99.2	6.52
Pd79Cu6Si10P5	82	None	None	None
Zr53Ti5Ni10Cu20Al12	82	None	None	None
Zr60.14Cu22.31Fe4.85Al9.7Ag3	82	None	None	6.5
(Zr55Nb9Cu15Ni11Al10)99B1	82.3	30	108.2	6.76
Zr57Nb5Cu15.4Ni12.6B1Al10	82.4	30	108.2	6.764
Zr61Ti2Cu25Al12	82.4	30.2	104.1	6.5
Zr62Cu17Ni13Al8	82.6	29.8	None	6.75
Z61Ti2Cu25Al12	82.8	30.2	104	None
Zr54Ti11Cu12.5Be22.5	82.8	30.3	None	None
Zr52.7Nb5Cu17.9Ni14.6Al10	82.9	30.2	109.7	6.651
Al15Co28Zr57	83	None	None	None
Zr52.7Nb5Cu17.9Ni14.6Al10	83	30.2	110.6	6.622
Zr65Al10Ni10Cu15	83	30.3	106.7	None
Zr65Al10Ni10Cu15	83	30.3	106.6	6.642
Zr65Cu15Ni10Al10	83	30.3	106.65	None
Cu46Zr46Ag8	83	0.005	None	None
Cu46Zr46Ag8	83	None	None	None
Zr60Cu10Al15Ni15	83	32.2	None	None
Zr60Cu5Al15Ni20	83	31.9	None	None
Zr60Al15Ni20Cu5	83	None	None	None
Zr60Al15Ni15Cu10	83	None	None	None
Cu50Zr50	83.2	30	119.9	None
Zr60Fe10Cu20Al10	83.3	30.7	96	None
Zr52.7Nb5Cu17.9Ni14.6Al10	83.4	30.3	110.6	6.703
Cu46Zr54	83.5	30	None	7.62
Cu50Zr50	83.5	None	None	7.33
Zr60Fe7.5Cu22.5Al10	83.5	30.8	95.1	None
Al84Ni10La6	83.6	None	None	3.58
Zr60Fe5Cu25Al10	83.8	31.2	87.3	None
Zr60Fe5Cu25Al10	83.8	31.2	87.3	None
Zr52.7Nb5Cu17.9Ni14.6Al10	83.9	30.5	113	6.709
Cu47Zr47Al6	84	None	None	None
Cu50Zr50	84	None	None	None
Zr50Cu40Al10	84	None	None	None
Zr60Cu28Al12	84	30.7	106.5	6.6
(Cu47.5Zr47.5Al5)90V10	84	None	None	None
Zr60.14Cu22.31Fe4.85Al9.7Ag3	84.22	30.78	106.46	None
Zr36.6Ti31.4Nb7Cu5.9Be19.1	84.3	30.7	None	5.6
Zr60Ni25Al15	84.4	30.7	101.3	None
Cu46Zr42Al7Y5	84.6	31	None	7.23
Cu42Zr42Al7Y5	84.6	31	104.1	None
Zr57.5Nb5Cu15.5Ni12Al10	84.7	30.8	None	None
Cu50Zr50	85	32	101.2	7.4
Zr50Cu50	85	31.3	None	None
Zr55Ti5Cu20Ni10Al10	85	31	None	None
Cu65Zr35	85	None	None	None
Fe74P16C5Al3Si2	85	None	None	None
Fe78B12Si10	85	None	None	None
Pd77.5Si16.5Ag6	85	30.1	164	10.4
Pd79.5Si16.5Au4	85	None	None	None
Zr60Al15Ni25	85	32.1	99.3	None
Zr60Al15Ni25	85	None	None	None
Zr60Al15Ni20Fe5	85	None	None	None
Zr60Al15Ni15Fe10	85	None	None	None
(Cu47.5Zr47.5Al5)95V5	85	None	None	None
Sc36Al24Co20Y20	85.2	32.3	77.6	4.214
Sc36Co20Y20Al24	85.2	None	None	None
Sc36Al24Co20Y20	85.2	32.3	77.5	None
Sc36Y20Al24Co20	85.2	32.3	77.5	None
Ti50Cu23Ni20Sn7	85.3	None	None	None
Ti50Cu23Ni20Sn7	85.3	None	None	None
Zr60Ni25Al15	85.3	31.2	102.1	None
Cu50Zr50	85.3	None	None	None
Zr60Nb3Cu14Ni13Al10	85.4	31.1	112.3	6.73
Zr60Cu30Al10	85.6	31.7	94.7	None
(Cu46Zr42Al7Y5)96Cr4	85.7	31.2	114.3	7.001
Cu38Zr50Ag12	85.8	31.1	119	None
(Zr55Al15Ni10Cu20)96Y4	85.9	31.5	104.8	6.44
(Zr0.59Ti0.06Cu0.22Ni0.13)90Al10	85.9	31.3	112.1	6.74
(Zr55Al15Cu20Ni10)96Y4	85.9	31.5	104.8	6.438
Zr53Ti5Cu20Ni12Al10	86	31.3	112.3	6.749
Zr53.1Ti5.4Cu19.8Ni11.7Al10	86	31.3	None	6.75
Ni74P16B7Al3	86	None	None	None
Zr65Al7.5Ni10Cu12.5Ag5	86	None	None	None
[Zr55Al15Ni10Cu20]96Y4	86	31.5	104.8	6.44
Zr50Cu40Al10	86	None	None	None
Zr57Nb5Cu15.4Ni12.6Al10	86.2	31.5	110.9	6.758
Zr51Ti9Cu15Be25	86.5	31.8	None	None
(Zr46.75Ti8.25Cu7.5Ni10Be27.5)92Al8	86.7	32.3	91.6	5.88
Zr57Nb5Al10Cu15.4Ni12.6	86.7	None	None	None
Ti30Zr35Cu8.25Be26.75	86.9	None	None	5.39
Zr35Ti30Cu8.25Be26.75	86.9	31.8	113.7	5.4
Zr35Ti30Cu8.25Be26.75	86.9	31.8	None	None
Zr35Ti30Cu8.25Be26.75	86.9	31.8	None	None
Zr35Ti30Cu8.25Be26.75	86.9	None	None	None
Zr35Ti30Cu8.25Be26.75	86.9	None	None	5.5
Cu47.5Zr47.5Al5	87	None	None	None
(Cu50Zr50)95Al5	87	None	None	None
Cu45Zr50Ag5	87	31.5	120	None
Cu40Zr50Ag10	87	31.6	117.2	None
Cu48Zr50Ag2	87.2	31.5	121.3	None
Zr52.7Nb5Cu17.9Ni14.6Al10	87.3	31.8	113.5	6.758
Zr57Nb5Cu15.4Ni12.6Al10	87.3	31.9	107.7	6.69
Zr53Ti5Cu20Ni12Al10	87.6	32.1	106.8	None
Zr55Cu20Ni10Al10Ti5	87.6	31.7	None	6.58
Cu46Zr44Al7Y3	87.7	32	112.1	7.026
Zr41Ti13Ni10Cu13Be23	88	None	None	None
Zr65Al7.5Ni10Cu12.5Pd5	88	None	None	None
Zr63.8Ni16.2Cu15Al5	88	None	None	None
Pd77.5Cu6Si16.5	88	31.3	165	None
Ni76P24	88	None	None	None
Zr52.5Cu17.9Ni14.6Al10Ti5	88	31.8	None	6.66
Ti43.2Cu38Ni10Zr7.8Al0.5Si0.5	88	None	None	None
(Cu47.5Zr47.5Al5)97V3	88	None	None	None
Zr55Al10Ni5Cu30	88.2	None	None	None
Zr55Cu20Ni10Al10Ti5	88.3	31.9	None	6.62
Pd68P20Fe12	88.5	31.4	158.1	10.12
Zr52.5Cu17.9Ni14.6Al10Ti5	88.56	32.21	114.12	6.73
Zr52.5Ti5Cu17.9Ni14.6Al10	88.6	32.3	114.1	6.73
Zr52.5Cu17.9Ni14.6Al10Ti5	88.6	None	None	None
(Cu50Zr50)96Al4	88.7	32.4	113.7	7.221
Cu48Zr48Al4	88.7	32.4	None	7.22
Pd77.5Cu6Si16.5	88.8	31.8	166	10.4
Pd77.5Cu6Si16.5	88.8	None	None	None
Pd77.5Cu6Si16.5	88.8	None	None	None
Zr58Ni26.6Al15.4	88.9	32.4	114.8	6.522
(Cu50Zr50)94.5Al5.5	89	32.4	115.6	7.174
Cu45Zr45Al7Gd3	89	32.4	117.1	7.162
(Cu50Zr50)90Al7Gd3	89	32.4	117.1	None
Cu46Zr46Al8	89	None	None	None
